Modèles globaux,Modèles régionaux,Date,Niv. réchauffement,Pts T>45,Pts T>50,T_max,Commentaire,,source :,https://www.drias-climat.fr/accompagnement/sections/405,,,
CNRM-CM5,ALADIN63,19-07-2065,2.7°C,3430,78,51.2,,,auteurs :,F.Puy,S.Beck,,
,,15-08-2089,4.0°C,1517,8,50.5,,,,,,,
,,22-07-2090,>4.0°C,1106,6,50.3,,,,,,,
,,26-07-2091,>4.0°C,3230,8,50.7,,,Code couleur,Critère 1,Critère 2,Critère 3,
,,27-07-2091,>4.0°C,4547,199,51.5,,1 cas 2.7°C fiable,Rouge,(N50)<10<(N45)/2,N50<2(Tmax-50),Points isolés,
,,29-07-2091,>4.0°C,4492,59,50.9,,1 cas 4.0°C fiable,Jaune,(N50)<(N>45)/10,N50<10(Tmax-50),N45<250,
,,15-08-2093,>4.0°C,2424,1,50.0,,Fiable à 100%,Vert,,,,
,HadREM3-GA7-05,14-07-2076,4.0°C,2627,74,50.9,,,Vert foncé,Horizon 2.7°C ou moins,,,
,,16-07-2076,4.0°C,1999,1,50.4,1 pt à 50.4 ?,,,,,,
,,03-08-2078,4.0°Cp,3,2,51.7,explosion,,,,,,
,,30-06-2079,4.0°C,1656,1,50.3,,,,,,,
,,11-07-2084,>4.0°C,4,3,51.4,explosion,,,warming    ,T_max     ,Pts T>45   , Pts T>50
,,21-07-2090,>4.0°C,2398,6,50.8,,,,2.0,52.47,18.25,2.0
,,22-07-2090,>4.0°C,3532,36,51.7,,,,"2,7",52.07,1002.28,14.14
,,23-07-2090,>4.0°C,2562,1,50.3,,,,4.0,51.29,980.67,12.65
,,25-07-2090,>4.0°C,2292,8,50.5,,,,,,,
,,04-08-2100,>4.0°C,20,3,50.4,explosion,2 cas 4.0°C fiables,,,,,
,,06-08-2100,>4.0°C,5,4,51.0,explosion,Fiable à 55%,,,,,
EC-EARTH,HadREM3-GA7-05,17-08-2057,4.0°Cp,170,3,51.8,explosion,,,,,,
,,04-08-2061,4.0°C,2646,6,50.5,,,,,,,
